Date,Sentiment
2020-06-19,-0.5
2020-06-22,-1.0
2020-06-27,-1.0
2020-07-06,1.0
2020-07-13,-1.0
2020-07-18,-1.0
2020-07-22,0.0
2020-07-27,0.0
2020-08-05,-0.5
2020-08-06,1.0
2020-08-11,0.0
2020-08-13,-1.0
2020-08-18,-0.5
2020-08-20,-0.5
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,-1.0
2020-09-03,0.0
2020-09-09,-1.0
2020-09-14,0.0
2020-09-23,0.0
2020-09-27,1.0
2020-10-04,-1.0
2020-10-05,-1.0
2020-10-17,0.0
2020-10-24,0.0
2020-11-02,0.5
2020-11-06,-1.0
2020-11-08,-1.0
2020-11-11,-1.0
2020-11-17,-0.75
2020-11-21,-1.0
2020-11-24,0.0
2020-11-25,-1.0
2020-12-05,0.0
2020-12-10,-1.0
2020-12-18,0.0
2020-12-25,0.0
2020-12-26,-1.0
2020-12-30,1.0
2021-01-03,-1.0
2021-01-05,-1.0
2021-01-23,-1.0
2021-01-24,0.0
2021-02-01,0.0
2021-02-16,-1.0
2021-02-23,0.0
2021-02-26,-1.0
2021-02-28,-1.0
2021-03-05,-1.0
2021-03-06,0.0
2021-03-08,0.0
2021-03-10,-1.0
2021-03-13,-1.0
2021-03-18,-1.0
2021-03-19,-0.5
2021-03-22,-1.0
2021-03-24,-1.0
2021-03-28,0.0
2021-03-31,-1.0
2021-04-01,-0.75
2021-04-04,1.0
2021-04-08,-1.0
2021-04-15,0.0
2021-04-20,0.0
2021-04-22,0.0
2021-04-23,0.0
2021-04-28,-1.0
2021-05-01,-1.0
2021-05-02,-1.0
2021-05-03,-1.0
2021-05-04,1.0
2021-05-06,-0.3333333333333333
2021-05-08,-1.0
2021-05-09,-1.0
2021-05-10,-0.5
2021-05-17,1.0
2021-05-24,0.0
2021-05-25,-1.0
2021-05-26,-0.3333333333333333
2021-06-07,0.0
2021-06-09,1.0
2021-06-11,-1.0
2021-06-13,0.0
2021-06-14,0.0
2021-06-18,1.0
2021-06-20,0.0
2021-06-24,-0.5
2021-06-25,-0.5
2021-06-26,-1.0
2021-07-02,0.0
2021-07-06,-1.0
2021-07-08,-0.5
